lexeme	CurrentNode	lineno	tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	expPrime	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	expPrime	non-leaf	expPrime
)	----	530	TK_CL	----	factor	leaf	TK_CL
----	term	-	----	----	arithmeticExpression	non-leaf	term
*	----	530	TK_MUL	----	highPrecedenceOperators	leaf	TK_MUL
----	highPrecedenceOperators	-	----	----	termPrime	non-leaf	highPrecedenceOperators
----	termPrime	-	----	----	term	non-leaf	termPrime
(	----	530	TK_OP	----	factor	leaf	TK_OP
----	factor	-	----	----	termPrime	non-leaf	factor
2345	----	530	TK_NUM	2345	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	arithmeticExpression	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	arithmeticExpression	-	----	----	factor	non-leaf	arithmeticExpression
-	----	530	TK_MINUS	----	lowPrecedenceOperators	leaf	TK_MINUS
----	lowPrecedenceOperators	-	----	----	expPrime	non-leaf	lowPrecedenceOperators
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
234	----	530	TK_NUM	234	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	expPrime	non-leaf	term
*	----	530	TK_MUL	----	highPrecedenceOperators	leaf	TK_MUL
----	highPrecedenceOperators	-	----	----	termPrime	non-leaf	highPrecedenceOperators
----	termPrime	-	----	----	term	non-leaf	termPrime
8	----	530	TK_NUM	8	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	termPrime	non-leaf	factor
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	termPrime	non-leaf	termPrime
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	expPrime	non-leaf	expPrime
)	----	530	TK_CL	----	factor	leaf	TK_CL
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	termPrime	non-leaf	termPrime
----	arithmeticExpression	-	----	----	factor	non-leaf	arithmeticExpression
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
)	----	530	TK_CL	----	factor	leaf	TK_CL
----	term	-	----	----	arithmeticExpression	non-leaf	term
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	term	non-leaf	termPrime
----	arithmeticExpression	-	----	----	assignmentStmt	non-leaf	arithmeticExpression
+	----	530	TK_PLUS	----	lowPrecedenceOperators	leaf	TK_PLUS
----	lowPrecedenceOperators	-	----	----	expPrime	non-leaf	lowPrecedenceOperators
----	expPrime	-	----	----	arithmeticExpression	non-leaf	expPrime
5	----	530	TK_NUM	5	all	leaf	TK_NUM
----	all	-	----	----	factor	non-leaf	all
----	factor	-	----	----	term	non-leaf	factor
----	term	-	----	----	expPrime	non-leaf	term
*	----	530	TK_MUL	----	highPrecedenceOperators	leaf	TK_MUL
----	highPrecedenceOperators	-	----	----	termPrime	non-leaf	highPrecedenceOperators
----	termPrime	-	----	----	term	non-leaf	termPrime
c3	----	530	TK_ID	----	all	leaf	TK_ID
----	all	-	----	----	factor	non-leaf	all
----	eps	-	----	----	temp	non-leaf	eps
----	temp	-	----	----	all	non-leaf	temp
----	factor	-	----	----	termPrime	non-leaf	factor
----	eps	-	----	----	termPrime	non-leaf	eps
----	termPrime	-	----	----	termPrime	non-leaf	termPrime
----	eps	-	----	----	expPrime	non-leaf	eps
----	expPrime	-	----	----	expPrime	non-leaf	expPrime
;	----	530	TK_SEM	----	assignmentStmt	leaf	TK_SEM
----	stmt	-	----	----	otherStmts	non-leaf	stmt
----	otherStmts	-	----	----	otherStmts	non-leaf	otherStmts
if	----	531	TK_IF	----	conditionalStmt	leaf	TK_IF
----	conditionalStmt	-	----	----	stmt	non-leaf	conditionalStmt
(	----	531	TK_OP	----	conditionalStmt	leaf	TK_OP
(	----	531	TK_OP	----	booleanExpression	leaf	TK_OP
----	booleanExpression	-	----	----	conditionalStmt	non-leaf	booleanExpression
~	----	531	TK_NOT	----	booleanExpression	leaf	TK_NOT
----	booleanExpression	-	----	----	booleanExpression	non-leaf	booleanExpression
(	----	531	TK_OP	----	booleanExpression	leaf	TK_OP
c4bbb	----	531	TK_ID	----	var	leaf	TK_ID
----	var	-	----	----	booleanExpression	non-leaf	var
----	booleanExpression	-	----	----	booleanExpression	non-leaf	booleanExpression
==	----	531	TK_EQ	----	relationalOp	leaf	TK_EQ
----	relationalOp	-	----	----	booleanExpression	non-leaf	relationalOp
0	----	531	TK_NUM	0	var	leaf	TK_NUM
----	var	-	----	----	booleanExpression	non-leaf	var
)	----	531	TK_CL	----	booleanExpression	leaf	TK_CL
)	----	531	TK_CL	----	booleanExpression	leaf	TK_CL
Syntax Error in child of booleanExpression
(	----	531	TK_OP	----	booleanExpression	leaf	TK_OP
c4bbb	----	531	TK_ID	----	var	leaf	TK_ID
----	var	-	----	----	booleanExpression	non-leaf	var
----	booleanExpression	-	----	----	booleanExpression	non-leaf	booleanExpression
>	----	531	TK_GT	----	relationalOp	leaf	TK_GT
----	relationalOp	-	----	----	booleanExpression	non-leaf	relationalOp
78.56	----	531	TK_RNUM	78.559998	var	leaf	TK_RNUM
----	var	-	----	----	booleanExpression	non-leaf	var
)	----	531	TK_CL	----	booleanExpression	leaf	TK_CL
)	----	531	TK_CL	----	conditionalStmt	leaf	TK_CL
then	----	532	TK_THEN	----	conditionalStmt	leaf	TK_THEN
c6	----	533	TK_ID	----	singleOrRecId	leaf	TK_ID
----	singleOrRecId	-	----	----	assignmentStmt	non-leaf	singleOrRecId
----	eps	-	----	----	new_24	non-leaf	eps
